File	Sorted	Length	CER	CER(sorted)	1-cos	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10
00439384.xml	false	1658	0.786	0.201	0.053	0.105	0.195	0.286	0.366	0.432	0.49	0.544	0.591	0.635	0.675
00439039.xml	true	2026	0.174	0.174	0.037	0.073	0.151	0.218	0.283	0.341	0.394	0.443	0.486	0.526	0.563
00439196.xml	true	1908	0.194	0.194	0.057	0.103	0.211	0.324	0.41	0.483	0.546	0.602	0.652	0.693	0.731
00439101.xml	true	2011	0.131	0.131	0.029	0.069	0.136	0.202	0.262	0.317	0.369	0.418	0.463	0.504	0.541
00439256.xml	true	2006	0.159	0.159	0.048	0.105	0.195	0.285	0.36	0.426	0.485	0.538	0.584	0.627	0.667
00439064.xml	true	2077	0.121	0.121	0.035	0.071	0.154	0.224	0.293	0.353	0.406	0.455	0.501	0.544	0.583
00439249.xml	true	1972	0.218	0.218	0.05	0.103	0.21	0.332	0.43	0.506	0.569	0.626	0.677	0.718	0.755
00439102.xml	true	2101	0.145	0.145	0.034	0.077	0.148	0.221	0.285	0.341	0.395	0.443	0.487	0.528	0.566
00439257.xml	true	1997	0.165	0.165	0.05	0.088	0.178	0.274	0.349	0.413	0.469	0.517	0.559	0.598	0.633
00439226.xml	false	1608	0.19	0.19	0.055	0.098	0.196	0.299	0.383	0.453	0.51	0.561	0.607	0.648	0.685
00439198.xml	true	2057	0.185	0.185	0.046	0.091	0.202	0.307	0.404	0.48	0.543	0.596	0.643	0.685	0.722
00439346.xml	true	2004	0.189	0.189	0.05	0.102	0.203	0.306	0.396	0.471	0.533	0.588	0.637	0.679	0.712
00439355.xml	true	2006	0.184	0.184	0.042	0.09	0.185	0.288	0.374	0.445	0.504	0.554	0.599	0.64	0.676
00439215.xml	true	1978	0.221	0.221	0.047	0.1	0.223	0.338	0.436	0.513	0.575	0.628	0.673	0.714	0.749
00439365.xml	true	1995	0.167	0.167	0.045	0.094	0.188	0.293	0.383	0.457	0.517	0.572	0.618	0.659	0.695
00439271.xml	true	2014	0.168	0.168	0.055	0.1	0.209	0.315	0.402	0.477	0.54	0.595	0.644	0.689	0.725
00439351.xml	true	2037	0.167	0.167	0.045	0.095	0.186	0.27	0.346	0.409	0.466	0.516	0.56	0.6	0.637
00439163.xml	true	2006	0.136	0.136	0.033	0.07	0.148	0.227	0.296	0.355	0.409	0.457	0.503	0.546	0.586
00439339.xml	true	2008	0.171	0.171	0.051	0.092	0.187	0.285	0.362	0.425	0.478	0.528	0.572	0.612	0.648
00439185.xml	true	1979	0.214	0.214	0.042	0.095	0.195	0.295	0.386	0.457	0.514	0.57	0.618	0.665	0.705
00439211.xml	true	2006	0.284	0.284	0.061	0.11	0.273	0.423	0.538	0.619	0.683	0.736	0.778	0.815	0.846
00439076.xml	true	2042	0.127	0.127	0.033	0.066	0.146	0.22	0.283	0.342	0.394	0.443	0.487	0.527	0.568
00439167.xml	true	1973	0.132	0.132	0.033	0.075	0.14	0.212	0.276	0.335	0.388	0.438	0.483	0.523	0.56
00439342.xml	true	1994	0.303	0.303	0.076	0.144	0.283	0.415	0.513	0.591	0.648	0.697	0.739	0.775	0.806
00439031.xml	true	608	0.309	0.309	0.128	0.157	0.315	0.458	0.555	0.627	0.687	0.732	0.77	0.801	0.832
00439174.xml	true	2005	0.251	0.251	0.055	0.122	0.253	0.38	0.479	0.556	0.621	0.673	0.719	0.76	0.795
00439424.xml	true	2040	0.25	0.25	0.07	0.142	0.285	0.409	0.506	0.578	0.632	0.68	0.72	0.754	0.784
00439233.xml	true	1972	0.224	0.224	0.068	0.127	0.244	0.362	0.466	0.547	0.61	0.664	0.711	0.75	0.782
00439095.xml	true	2037	0.15	0.15	0.043	0.078	0.162	0.251	0.324	0.387	0.442	0.493	0.538	0.58	0.617
00439368.xml	true	2064	0.133	0.133	0.039	0.077	0.149	0.222	0.289	0.35	0.405	0.456	0.501	0.544	0.583
00439105.xml	true	2075	0.13	0.13	0.037	0.072	0.143	0.21	0.273	0.33	0.383	0.427	0.471	0.511	0.549
00439024.xml	true	1325	0.462	0.462	0.108	0.199	0.394	0.569	0.68	0.752	0.804	0.846	0.878	0.904	0.924
00439149.xml	true	1530	0.187	0.187	0.05	0.103	0.197	0.286	0.364	0.429	0.489	0.541	0.587	0.628	0.667
00439371.xml	false	1976	0.86	0.304	0.068	0.128	0.281	0.43	0.539	0.619	0.678	0.731	0.775	0.813	0.844
00439179.xml	true	1991	0.229	0.229	0.049	0.093	0.224	0.348	0.447	0.527	0.587	0.638	0.683	0.722	0.757
00439401.xml	true	2031	0.139	0.139	0.041	0.081	0.165	0.247	0.313	0.374	0.43	0.478	0.521	0.56	0.595
00439117.xml	true	2068	0.23	0.23	0.049	0.111	0.223	0.346	0.445	0.516	0.572	0.618	0.66	0.696	0.728
00439325.xml	true	2034	0.197	0.197	0.046	0.098	0.212	0.326	0.41	0.477	0.534	0.583	0.626	0.662	0.696
00439363.xml	true	2030	0.2	0.2	0.042	0.089	0.18	0.273	0.352	0.416	0.473	0.523	0.569	0.612	0.652
00439263.xml	true	2001	0.26	0.26	0.047	0.094	0.196	0.297	0.382	0.449	0.505	0.556	0.601	0.639	0.672
00439067.xml	true	2093	0.139	0.139	0.036	0.078	0.154	0.229	0.291	0.349	0.4	0.447	0.49	0.529	0.567
00439305.xml	true	1980	0.194	0.194	0.058	0.118	0.222	0.328	0.411	0.478	0.538	0.59	0.637	0.678	0.716
00439269.xml	true	2010	0.255	0.255	0.058	0.1	0.217	0.335	0.421	0.496	0.559	0.614	0.664	0.705	0.743
00439029.xml	true	1258	0.137	0.137	0.06	0.078	0.171	0.252	0.321	0.384	0.443	0.495	0.542	0.582	0.618
00439165.xml	true	1968	0.185	0.185	0.041	0.089	0.188	0.289	0.379	0.447	0.502	0.555	0.599	0.639	0.677
00439265.xml	true	1987	0.212	0.212	0.059	0.103	0.209	0.328	0.416	0.49	0.55	0.605	0.653	0.696	0.734
00439281.xml	true	2008	0.21	0.21	0.047	0.104	0.206	0.307	0.392	0.466	0.527	0.581	0.629	0.672	0.71
